id,male_female_ratio,city,urban_rural_classification,customer_age_class,customer_income_bracket,customer_education_level,business_type,annual_revenue,employee_count,years_in_business,total_sales
1,0.8,New York,urban,adult,high,high,Electronics,750000,85,12,35000
2,1.2,Chicago,suburban,youth,medium,mid,Clothing,220000,18,5,12000
3,0.9,Rural Town,rural,adult,low,low,Grocery,65000,4,3,4500
4,1.1,Los Angeles,urban,youth,high,high,Technology,950000,120,8,48000
5,0.7,Boston,suburban,adult,medium,high,Health,420000,45,15,22000
6,1.3,Miami,urban,adult,high,mid,Fashion,580000,32,6,28000
7,0.6,Denver,suburban,senior,medium,mid,Hardware,180000,12,18,8500
8,1.4,Austin,urban,youth,medium,high,Software,350000,28,4,15000
9,0.8,Phoenix,suburban,adult,low,low,Automotive,95000,8,7,6200
10,1.0,Seattle,urban,adult,high,high,Electronics,680000,75,10,32000
11,0.9,Portland,suburban,youth,medium,mid,Organic Food,155000,15,3,9800
12,1.1,Atlanta,urban,adult,medium,high,Medical,380000,42,14,19500
13,0.7,Dallas,suburban,senior,low,mid,Retail,125000,10,22,7800
14,1.2,San Francisco,urban,youth,high,high,Technology,1200000,150,9,65000
15,0.8,San Diego,suburban,adult,medium,high,Beauty,280000,25,11,16000
16,1.0,Las Vegas,urban,adult,low,low,Entertainment,88000,6,4,5500
17,0.9,Nashville,suburban,youth,medium,mid,Music,198000,20,6,11200
18,1.1,Orlando,urban,adult,medium,mid,Tourism,320000,35,8,18000
19,0.6,Salt Lake City,suburban,senior,low,mid,Sports,142000,13,16,8900
20,1.3,Tampa,urban,youth,medium,high,Tech Startup,265000,22,2,13500
21,0.8,Charlotte,suburban,adult,high,high,Financial,520000,55,13,24000
22,1.0,Indianapolis,suburban,adult,low,mid,Manufacturing,165000,18,9,10500
23,0.9,Columbus,urban,youth,medium,high,Education,185000,16,5,11800
24,1.2,San Antonio,suburban,adult,medium,low,Food Service,98000,12,6,7200
25,0.7,Fort Worth,suburban,senior,low,mid,Construction,135000,14,20,8100
26,1.1,Jacksonville,urban,adult,medium,mid,Logistics,245000,28,7,14500
27,0.8,Memphis,suburban,youth,low,low,Agriculture,72000,5,4,4800
28,1.0,Baltimore,urban,adult,high,high,Biotechnology,595000,68,11,29000
29,0.9,Louisville,suburban,adult,medium,mid,Healthcare,298000,32,12,17200
30,1.1,Milwaukee,urban,youth,medium,high,Brewing,188000,19,3,12400
31,0.6,Albuquerque,suburban,senior,low,mid,Aerospace,158000,15,19,9200
32,1.2,Tucson,urban,adult,medium,low,Solar Energy,125000,11,5,8600
33,0.8,Fresno,suburban,adult,low,low,Agriculture,89000,7,8,5900
34,1.0,Sacramento,urban,youth,medium,mid,Government,195000,21,6,12800
35,0.9,Long Beach,suburban,adult,high,high,Shipping,445000,48,14,21500
36,1.1,Kansas City,urban,adult,medium,mid,Barbecue,168000,17,9,10800
37,0.7,Virginia Beach,suburban,senior,medium,mid,Tourism,188000,23,17,11600
38,1.3,Colorado Springs,urban,youth,medium,high,Outdoor Gear,225000,24,4,13800
39,0.8,Raleigh,suburban,adult,high,high,Research,385000,41,10,20500
40,1.0,Omaha,urban,adult,medium,mid,Agriculture Tech,245000,26,8,15200
41,0.9,Miami Beach,urban,youth,high,mid,Hospitality,358000,38,7,19800
42,1.1,Fort Lauderdale,suburban,adult,medium,high,Marine,298000,33,12,17800
43,0.6,St. Petersburg,suburban,senior,low,mid,Retirement,118000,9,25,7500
44,1.2,Hialeah,urban,adult,low,low,Import/Export,95000,8,5,6400
45,0.8,Tallahassee,suburban,youth,medium,high,Education,175000,18,3,11400
46,1.0,Gainesville,urban,adult,medium,mid,University,165000,16,6,10900
47,0.9,Cape Coral,suburban,adult,high,mid,Real Estate,385000,42,15,21000
48,1.1,Hollywood,urban,youth,medium,high,Entertainment,288000,29,4,16200
49,0.7,Pompano Beach,suburban,senior,medium,mid,Fishing,148000,12,18,9400
50,1.2,Lakeland,urban,adult,low,low,Citrus,78000,6,7,5200
